Metric,Content-Based,Popularity-Based,Genre-Based,Best Approach
precision@k,0.9000000000000005,1.0,0.29,Popularity-Based
recall@k,0.9000000000000005,1.0,0.29,Popularity-Based
ndcg@k,0.780720526926165,1.0,0.20372299072762629,Popularity-Based
diversity,0.00014861730583271292,0.001055077811053119,0.0042565491128142875,Genre-Based
novelty,2.82142171016431,0.015510161720291427,0.014220886274051714,Content-Based
